Position_1,Position_2,MI
10319,25907,0.9410454550758045
25907,28472,0.8831407869828447
25907,27964,0.8440334308878309
27964,28472,0.8163034454459231
10319,28472,0.8162981050689719
10319,27964,0.7687969285271505
204,24997,0.7642329052451223
12525,13665,0.7448485602091864
11919,12737,0.7292648962115067
13665,28893,0.7287482365389946
12525,28893,0.720429104675906
11195,11919,0.7149232057897693
19180,21776,0.7116976885347301
12737,12792,0.7114135454687209
11195,12792,0.7041677106293952
18424,25907,0.7018011087592206
10319,18424,0.7017313979090068
5011,13665,0.6854757808722267
204,21776,0.6731365437222308
9391,24997,0.6731365437222308
18424,27964,0.6709263555257391
9391,10702,0.6702459893934761
28472,28869,0.668575029974583
11919,12792,0.6652145128322466
1911,1912,0.662381009068472
1911,9510,0.662381009068472
13665,19180,0.6562876246991578
11195,12737,0.6545725025459435
13665,28677,0.6526510739368292
21776,27920,0.6526510739368291
5011,21776,0.6490541198264127
21776,28300,0.6490541198264124
14118,21776,0.6490541198264124
18424,28472,0.6474202438726283
204,5011,0.6471722802495978
204,27920,0.6471722802495977
204,14118,0.6471722802495977
12525,28300,0.6454963184479641
9510,29762,0.6454963184479641
12525,28677,0.6454963184479641
9510,18903,0.6439852766129698
1912,18903,0.6439852766129698
25907,28869,0.6347839420574515
13665,24997,0.6347463285411149
204,13665,0.6347463285411149
1348,11195,0.6340588737222266
24997,27920,0.6315112300296849
12525,19180,0.631222145487446
18744,18903,0.630444027159896
11195,11572,0.6301176950569998
11195,20259,0.6283058491639573
9510,18744,0.6283058491639573
28677,28893,0.627662515957238
28300,28677,0.627662515957238
28300,28893,0.627662515957238
14118,27920,0.6274204008240509
5011,27920,0.6274204008240507
5011,14118,0.6244211971197018
10319,28869,0.6209881659854082
204,9711,0.6181323240581109
9711,24997,0.6181323240581109
10702,12525,0.6159586039466731
10702,28677,0.6159586039466731
204,19180,0.6149895344020213
21776,24997,0.6149895344020213
204,9391,0.6149895344020213
13665,27920,0.614648068245637
19180,28893,0.612363158831102
10702,27920,0.6123631588311019
9391,27920,0.6117726500491947
13665,28300,0.6117726500491947
1912,9510,0.6085963879341407
5011,12525,0.6085963879341406
11195,29762,0.6085873256327835
5011,28677,0.6085873256327834
5011,28300,0.6054333357021133
13665,21776,0.5979922991700927
19180,24997,0.5975480198250135
204,24232,0.5973495380868318
11919,20259,0.5973495380868317
204,12525,0.5973495380868317
12525,24997,0.5973495380868317
14118,24997,0.5973495380868317
24232,24997,0.5973495380868316
5011,24997,0.5973495380868314
1348,12792,0.5966144534430664
10702,28893,0.5959795710703053
10702,21776,0.5959795710703053
21304,25907,0.5958953948687157
5011,19180,0.594944809660916
21776,24232,0.594944809660916
14118,19180,0.5949448096609158
12525,21776,0.5949448096609158
19180,27920,0.5949448096609158
1911,18903,0.5944799124064464
21776,28677,0.5943272903450765
27964,28869,0.5937038276888181
10702,28300,0.5923995476565127
9391,24232,0.5919255481422125
5011,28893,0.5919255481422122
9711,13665,0.5918421522524486
1348,9510,0.5918421522524486
19180,28300,0.5911399949721297
11572,12792,0.5907766117995679
11195,18903,0.5896765018403621
9510,11195,0.5870447698981666
21304,27964,0.5828887437965046
24997,28893,0.5811912595445342
204,28893,0.5811912595445341
204,28300,0.5811912595445341
10702,24997,0.5791215438422533
204,10702,0.5791215438422533
10702,13665,0.5791215438422533
11919,29762,0.5783114026978355
18903,29762,0.5783114026978354
1911,18744,0.5783114026978353
1348,1912,0.5781353007734028
21776,28893,0.5773699178753071
18424,28869,0.5766051171024477
5011,10702,0.5759055051861774
1348,11919,0.5754017983934028
11572,11919,0.5753252256961381
5822,9510,0.5753225543543847
13665,14118,0.5741684440446297
19180,28677,0.5727246693755261
1912,11195,0.5715238916089385
1911,29762,0.5713632186298525
10319,21304,0.568491662844847
5011,9711,0.5637360237853177
1348,18903,0.5622063932360296
18744,29762,0.5612799287762287
12792,20259,0.5605193795040794
9391,21776,0.5588208919889027
9510,11919,0.556236729829377
12525,27920,0.5551967842547645
11572,29762,0.5547900553128778
204,28677,0.552173855240872
11919,18903,0.5521156201551075
25907,29445,0.5505817209806253
9711,27920,0.5502835687924945
9711,12525,0.5502835687924945
21304,28472,0.5494779778491214
11572,20259,0.5467527141879288
12792,18903,0.5457524845898316
1348,12737,0.5411603084001461
1912,11919,0.5410544377198078
12792,29762,0.5406612963905266
9391,13665,0.5406612963905265
1348,20259,0.5405402875492245
11572,12737,0.5399384892518756
1348,1911,0.5383329036033571
19180,24232,0.5380111996447823
9391,12525,0.5380111996447823
27920,28893,0.5380111996447823
9510,12792,0.5369126880200339
10702,24232,0.5362378565264849
9711,28893,0.5361307025948516
10702,19180,0.5358407726156698
24997,28677,0.5355659762717316
24997,28300,0.5355659762717316
1912,29762,0.5353835985404183
24232,28677,0.5353835985404182
12737,20259,0.5345889101838033
9510,11572,0.5316135992242366
9711,14118,0.5272357845281748
13665,24232,0.5251033703042538
1912,18744,0.5251033703042538
9510,20259,0.5251033703042538
